state_id,age_range_id,gender_id,Population,Deaths,Probability
5,3,2,21080746,2228,0.000105689
5,3,1,22056060,2746,0.000124501
5,5,2,21790595,5725,0.000262728
5,5,1,23292967,16367,0.000702658
5,6,2,21870585,7781,0.000355775
5,6,1,23776812,26726,0.001124036
5,7,2,22183566,9033,0.000407193
5,7,1,23500038,25189,0.001071871
5,8,2,22085342,11874,0.000537642
5,8,1,23001628,27437,0.001192829
5,9,2,22352546,18333,0.000820175
5,9,1,22849298,35493,0.001553352
5,10,2,22608467,30011,0.001327423
5,10,1,22823864,52525,0.002301319
5,11,1,21775651,78604,0.00360972
5,11,2,21917138,46702,0.002130844
5,12,1,19906273,107967,0.005423768
5,12,2,20483952,66438,0.003243417
5,13,1,16623439,133483,0.008029807
5,13,2,17574627,84061,0.004783089
5,14,1,12955280,151811,0.011718079
5,14,2,14136858,102582,0.007256351
5,15,1,9822228,167410,0.017043994
5,15,2,11175312,125154,0.01119915
5,16,1,7475010,198580,0.026565851
5,16,2,9041272,163095,0.018038944
5,17,1,5776353,245761,0.042546049
5,17,2,7591107,227161,0.029924621
5,18,1,4032159,281706,0.069864804
5,18,2,5916891,304061,0.051388643
6,1,2,546444,2883,0.005275929
6,1,1,575829,3748,0.006508877
6,4,2,2736308,378,0.000138142
6,4,1,2870510,592,0.000206235
6,2,2,2175235,519,0.000238595
6,2,1,2286061,674,0.00029483
6,3,2,2720504,316,0.000116155
6,3,1,2849280,361,0.000126699
6,5,2,2711375,999,0.000368448
6,5,1,2928100,2255,0.000770124
6,6,2,2792414,1326,0.000474858
6,6,1,3074207,3768,0.001225682
6,7,2,2904017,1530,0.000526856
6,7,1,3145310,3893,0.001237716
6,8,2,2915668,1973,0.000676689
6,8,1,3131158,4170,0.001331776
6,9,2,2928674,2744,0.000936943
6,9,1,3083058,5273,0.001710315
6,10,2,3041614,4369,0.001436408
6,10,1,3113286,7606,0.002443078
6,11,2,3036501,6468,0.002130083
6,11,1,3041856,10840,0.003563614
6,12,1,2876334,14527,0.005050526
6,12,2,2903006,9026,0.003109191
6,13,1,2429112,17698,0.00728579
6,13,2,2486282,11125,0.004474553
6,14,1,1879521,20257,0.010777746
6,14,2,1961734,13572,0.006918369
6,15,1,1373886,21943,0.015971485
